,Name,Symbol,Weight,Price,Change,Percent
433,Snap-on Incorporated,SNA,0.029325,   139.95,0.00,(0.00%)
434,Iron Mountain Inc.,IRM,0.0293,   27.22,-0.05,(-0.18%)
435,Juniper Networks Inc.,JNPR,0.029088,   23.78,0.01,(0.04%)
436,BorgWarner Inc.,BWA,0.029081,   37.49,0.00,(0.00%)
437,Textron Inc.,TXT,0.028913,   33.44,0.00,(0.00%)
438,Globe Life Inc.,GL,0.028586,   75.32,0.00,(0.00%)
439,DaVita Inc.,DVA,0.028457,   85.11,0.00,(0.00%)
440,Carnival Corporation,CCL,0.028137,   15.65,0.18,(1.16%)
441,Lincoln National Corporation,LNC,0.02782,   37.04,0.00,(0.00%)
442,Huntington Ingalls Industries Inc.,HII,0.02746,   180.95,0.00,(0.00%)
443,Cabot Oil & Gas Corporation,COG,0.027103,   17.94,0.00,(0.00%)
444,Live Nation Entertainment Inc.,LYV,0.026915,   51.03,-0.01,(-0.02%)
445,A. O. Smith Corporation,AOS,0.026358,   50.53,0.00,(0.00%)
446,Regency Centers Corporation,REG,0.026311,   41.70,0.00,(0.00%)
447,Interpublic Group of Companies Inc.,IPG,0.026306,   18.00,0.00,(0.00%)
448,Pentair plc,PNR,0.026303,   41.69,0.00,(0.00%)
449,Molson Coors Beverage Company Class B,TAP,0.025292,   36.08,0.00,(0.00%)
450,Rollins Inc.,ROL,0.024798,   47.78,0.00,(0.00%)
451,CF Industries Holdings Inc.,CF,0.024517,   30.36,0.00,(0.00%)
452,Robert Half International Inc.,RHI,0.024087,   54.16,0.00,(0.00%)
453,Assurant Inc.,AIZ,0.023852,   104.17,0.00,(0.00%)
454,Diamondback Energy Inc.,FANG,0.023831,   39.05,0.03,(0.08%)
455,Newell Brands Inc,NWL,0.023593,   16.40,0.04,(0.24%)
456,Howmet Aerospace Inc.,HWM,0.02352,   16.45,0.00,(0.00%)
457,Discovery Inc. Class C,DISCK,0.023449,   19.18,0.01,(0.05%)
458,American Airlines Group Inc.,AAL,0.023269,   11.96,0.05,(0.42%)
459,IPG Photonics Corporation,IPGP,0.022686,   175.92,0.00,(0.00%)
460,Franklin Resources Inc.,BEN,0.022537,   21.05,0.00,(0.00%)
461,Vornado Realty Trust,VNO,0.022014,   36.59,0.00,(0.00%)
462,Sealed Air Corporation,SEE,0.02165,   36.84,0.00,(0.00%)
463,FLIR Systems Inc.,FLIR,0.021469,   41.40,-0.01,(-0.02%)
464,Zions Bancorporation N.A.,ZION,0.021366,   32.56,0.00,(0.00%)
465,Quanta Services Inc.,PWR,0.021317,   40.54,0.00,(0.00%)
466,Apartment Investment & Management Co Class A,AIV,0.020971,   37.18,0.00,(0.00%)
467,Federal Realty Investment Trust,FRT,0.02077,   78.43,0.00,(0.00%)
468,Nielsen Holdings Plc,NLSN,0.02039,   15.35,0.00,(0.00%)
469,Comerica Incorporated,CMA,0.019879,   35.54,0.00,(0.00%)
470,People's United Financial Inc.,PBCT,0.019445,   11.43,0.08,(0.70%)
471,Apache Corporation,APA,0.019436,   13.38,0.09,(0.68%)
472,Hanesbrands Inc.,HBI,0.019359,   14.04,0.02,(0.14%)
473,Kimco Realty Corporation,KIM,0.018438,   11.51,-0.11,(-0.95%)
474,Leggett & Platt Incorporated,LEG,0.018109,   36.54,0.00,(0.00%)
475,Noble Energy Inc.,NBL,0.017949,   9.63,-0.03,(-0.26%)
476,News Corporation Class A,NWSA,0.017895,   12.82,0.00,(0.00%)
477,Mohawk Industries Inc.,MHK,0.017493,   78.48,0.00,(0.00%)
478,Mosaic Company,MOS,0.017243,   13.45,0.04,(0.30%)
479,Marathon Oil Corporation,MRO,0.017241,   5.54,0.03,(0.54%)
480,Alaska Air Group Inc.,ALK,0.017194,   36.80,-0.20,(-0.54%)
481,National Oilwell Varco Inc.,NOV,0.016482,   11.36,0.00,(0.00%)
482,DXC Technology Co.,DXC,0.015968,   16.70,-0.11,(-0.65%)
483,Fox Corporation Class B,FOX,0.015799,   25.50,0.24,(0.95%)
484,HollyFrontier Corporation,HFC,0.015793,   27.48,0.00,(0.00%)
485,Devon Energy Corporation,DVN,0.015509,   10.28,-0.01,(-0.10%)
486,L Brands Inc.,LB,0.015506,   18.50,0.00,(0.00%)
487,Norwegian Cruise Line Holdings Ltd.,NCLH,0.015061,   15.53,0.26,(1.70%)
488,SL Green Realty Corp.,SLG,0.015037,   48.85,0.00,(0.00%)
489,Invesco Ltd.,IVZ,0.014988,   10.49,0.00,(0.00%)
490,Tapestry Inc.,TPR,0.01454,   13.49,-0.17,(-1.24%)
491,Flowserve Corporation,FLS,0.014348,   29.49,0.00,(0.00%)
492,PVH Corp.,PVH,0.014217,   49.90,0.67,(1.36%)
493,Ralph Lauren Corporation Class A,RL,0.01392,   73.31,0.00,(0.00%)
494,Unum Group,UNM,0.013752,   17.69,0.20,(1.14%)
495,Kohl's Corporation,KSS,0.01359,   22.15,0.11,(0.50%)
496,Discovery Inc. Class A,DISCA,0.012981,   21.23,-0.19,(-0.89%)
497,TechnipFMC Plc,FTI,0.012406,   7.80,0.09,(1.17%)
498,Xerox Holdings Corporation,XRX,0.012059,   17.35,0.00,(0.00%)
499,H&R Block Inc.,HRB,0.010925,   14.62,-0.12,(-0.81%)
500,Gap Inc.,GPS,0.010548,   13.04,0.15,(1.16%)
501,Under Armour Inc. Class A,UAA,0.00705,   10.30,0.10,(0.98%)
502,Under Armour Inc. Class C,UA,0.006668,   9.22,0.09,(0.99%)
503,News Corporation Class B,NWS,0.005914,   12.80,0.00,(0.00%)
504,Coty Inc. Class A,COTY,0.004843,   4.21,0.01,(0.24%)
