,Name,Symbol,Weight,Price,Change,Percent
196,Monster Beverage Corporation,MNST,0.102149,   74.56,0.34,(0.46%)
197,Cummins Inc.,CMI,0.102019,   183.11,0.00,(0.00%)
198,PPG Industries Inc.,PPG,0.101941,   112.57,0.69,(0.62%)
199,Yum! Brands Inc.,YUM,0.101486,   90.77,0.20,(0.22%)
200,IQVIA Holdings Inc,IQV,0.101039,   156.01,1.96,(1.27%)
201,Kroger Co.,KR,0.100976,   33.86,0.01,(0.03%)
202,AutoZone Inc.,AZO,0.100951,"   1,160.00",2.70,(0.23%)
203,Zimmer Biomet Holdings Inc.,ZBH,0.100524,   135.14,0.00,(0.00%)
204,Ford Motor Company,F,0.100247,   6.79,-0.01,(-0.15%)
205,Willis Towers Watson Public Limited Company,WLTW,0.09984,   208.50,0.00,(0.00%)
206,Public Service Enterprise Group Inc,PEG,0.099665,   55.08,0.00,(0.00%)
207,Aflac Incorporated,AFL,0.098188,   36.22,0.00,(0.00%)
208,Microchip Technology Incorporated,MCHP,0.097542,   106.97,1.30,(1.23%)
209,Schlumberger NV,SLB,0.097527,   18.60,-0.02,(-0.11%)
210,Prudential Financial Inc.,PRU,0.096801,   64.75,0.61,(0.95%)
211,Rockwell Automation Inc.,ROK,0.096521,   225.28,0.00,(0.00%)
212,HP Inc.,HPQ,0.09596,   17.60,0.05,(0.28%)
213,ANSYS Inc.,ANSS,0.09461,   301.13,0.00,(0.00%)
214,Marriott International Inc. Class A,MAR,0.094517,   91.75,0.27,(0.30%)
215,American Water Works Company Inc.,AWK,0.093296,   141.22,0.00,(0.00%)
216,Fastenal Company,FAST,0.092886,   44.20,0.00,(0.00%)
217,McKesson Corporation,MCK,0.092791,   154.81,0.00,(0.00%)
218,Trane Technologies plc,TT,0.091654,   102.45,0.00,(0.00%)
219,Marathon Petroleum Corporation,MPC,0.090879,   37.93,0.00,(0.00%)
220,Alexion Pharmaceuticals Inc.,ALXN,0.090872,   109.80,0.56,(0.51%)
221,Xilinx Inc.,XLNX,0.090767,   101.00,0.51,(0.51%)
222,Williams Companies Inc.,WMB,0.089804,   19.77,0.00,(0.00%)
223,Consolidated Edison Inc.,ED,0.089468,   74.07,0.00,(0.00%)
224,Stanley Black & Decker Inc.,SWK,0.08865,   155.85,2.49,(1.62%)
225,Parker-Hannifin Corporation,PH,0.088635,   184.96,0.00,(0.00%)
226,Otis Worldwide Corporation,OTIS,0.088508,   58.20,-0.35,(-0.60%)
227,Valero Energy Corporation,VLO,0.086921,   55.50,0.03,(0.05%)
228,Paychex Inc.,PAYX,0.086759,   74.04,0.55,(0.75%)
229,McCormick & Company Incorporated,MKC,0.086693,   192.50,1.61,(0.84%)
230,Motorola Solutions Inc.,MSI,0.086392,   137.68,0.00,(0.00%)
231,Cintas Corporation,CTAS,0.08634,   280.05,-0.01,(-0.00%)
232,Dollar Tree Inc.,DLTR,0.085721,   96.13,0.67,(0.70%)
233,State Street Corporation,STT,0.085466,   61.71,0.00,(0.00%)
234,Hilton Worldwide Holdings Inc,HLT,0.085375,   80.60,0.70,(0.88%)
235,Archer-Daniels-Midland Company,ADM,0.085304,   41.17,0.00,(0.00%)
236,Ball Corporation,BLL,0.085285,   70.29,0.00,(0.00%)
237,FirstEnergy Corp.,FE,0.083594,   42.14,0.00,(0.00%)
238,Align Technology Inc.,ALGN,0.083149,   318.59,-3.71,(-1.15%)
239,Corning Inc,GLW,0.083014,   29.44,0.40,(1.38%)
240,Skyworks Solutions Inc.,SWKS,0.082629,   135.00,1.05,(0.78%)
241,Cerner Corporation,CERN,0.082131,   71.26,0.00,(0.00%)
242,FLEETCOR Technologies Inc.,FLT,0.082073,   259.07,0.00,(0.00%)
243,Carrier Global Corp.,CARR,0.081101,   26.20,-0.28,(-1.06%)
244,AvalonBay Communities Inc.,AVB,0.080642,   153.89,0.00,(0.00%)
245,TransDigm Group Incorporated,TDG,0.080297,   432.87,0.00,(0.00%)
246,Kraft Heinz Company,KHC,0.079837,   34.90,-0.11,(-0.31%)
247,Edison International,EIX,0.079787,   56.36,0.00,(0.00%)
248,Fortive Corp.,FTV,0.079229,   72.09,0.00,(0.00%)
249,DTE Energy Company,DTE,0.078842,   111.51,0.00,(0.00%)
250,D.R. Horton Inc.,DHI,0.078731,   63.97,0.49,(0.77%)
251,AMETEK Inc.,AME,0.078691,   92.95,0.00,(0.00%)
252,Aptiv PLC,APTV,0.078646,   84.42,2.64,(3.23%)
253,Mettler-Toledo International Inc.,MTD,0.078488,   867.89,0.00,(0.00%)
254,Welltower Inc.,WELL,0.078375,   50.99,0.00,(0.00%)
255,Corteva Inc,CTVA,0.0782,   28.34,-0.01,(-0.04%)
256,Alexandria Real Estate Equities Inc.,ARE,0.077432,   166.75,0.00,(0.00%)
257,Church & Dwight Co. Inc.,CHD,0.077171,   84.87,0.00,(0.00%)
258,VeriSign Inc.,VRSN,0.076902,   199.70,0.00,(0.00%)
259,Best Buy Co. Inc.,BBY,0.075508,   88.84,0.88,(1.00%)
260,MarketAxess Holdings Inc.,MKTX,0.074908,   533.00,0.46,(0.09%)
261,V.F. Corporation,VFC,0.074788,   60.09,0.37,(0.62%)
262,Equity Residential,EQR,0.074781,   56.98,0.00,(0.00%)
263,Hershey Company,HSY,0.07465,   136.40,0.00,(0.00%)
264,PPL Corporation,PPL,0.074467,   26.00,0.00,(0.00%)
265,Equifax Inc.,EFX,0.074415,   166.80,0.00,(0.00%)
266,Realty Income Corporation,O,0.074185,   58.60,0.01,(0.02%)
267,Lennar Corporation Class A,LEN,0.073343,   69.60,0.00,(0.00%)
268,Entergy Corporation,ETR,0.073295,   100.44,0.00,(0.00%)
269,Freeport-McMoRan Inc.,FCX,0.073199,   13.58,0.00,(0.00%)
270,Arthur J. Gallagher & Co.,AJG,0.073185,   103.55,0.00,(0.00%)
271,Simon Property Group Inc.,SPG,0.07244,   62.54,0.14,(0.22%)
272,First Republic Bank,FRC,0.070925,   112.10,0.00,(0.00%)
273,Maxim Integrated Products Inc.,MXIM,0.070446,   70.75,0.71,(1.01%)
274,Ameriprise Financial Inc.,AMP,0.070397,   153.37,0.00,(0.00%)
275,Ameren Corporation,AEE,0.069992,   78.74,0.00,(0.00%)
276,Weyerhaeuser Company,WY,0.06978,   25.85,-0.10,(-0.39%)
277,Laboratory Corporation of America Holdings,LH,0.069242,   193.65,0.00,(0.00%)
278,Akamai Technologies Inc.,AKAM,0.067697,   112.27,-0.38,(-0.34%)
279,Southwest Airlines Co.,LUV,0.067626,   34.32,0.19,(0.56%)
280,Keysight Technologies Inc,KEYS,0.067529,   97.78,0.00,(0.00%)
281,Incyte Corporation,INCY,0.067277,   104.11,0.00,(0.00%)
282,Republic Services Inc.,RSG,0.066715,   86.98,0.00,(0.00%)
283,Tyson Foods Inc. Class A,TSN,0.066695,   60.47,-0.35,(-0.58%)
284,West Pharmaceutical Services Inc.,WST,0.066568,   245.00,-1.94,(-0.79%)
285,Copart Inc.,CPRT,0.066491,   87.24,0.00,(0.00%)
286,Conagra Brands Inc.,CAG,0.066411,   36.88,0.30,(0.82%)
287,LyondellBasell Industries NV,LYB,0.066185,   68.50,0.00,(0.00%)
288,Citrix Systems Inc.,CTXS,0.065545,   155.83,0.00,(0.00%)
289,Old Dominion Freight Line Inc.,ODFL,0.064715,   185.02,-1.41,(-0.76%)
290,Fortinet Inc.,FTNT,0.06431,   130.10,0.98,(0.76%)
291,CMS Energy Corporation,CMS,0.06413,   61.76,0.00,(0.00%)
292,Teleflex Incorporated,TFX,0.063953,   381.88,0.00,(0.00%)
293,Amcor PLC,AMCR,0.063683,   10.77,0.00,(0.00%)
294,Kellogg Company,K,0.06364,   68.20,-0.43,(-0.63%)
295,Northern Trust Corporation,NTRS,0.063587,   77.71,0.00,(0.00%)
296,Las Vegas Sands Corp.,LVS,0.063026,   49.00,0.31,(0.64%)
297,Tractor Supply Company,TSCO,0.062996,   141.94,1.17,(0.83%)
298,Take-Two Interactive Software Inc.,TTWO,0.062979,   149.85,-0.73,(-0.48%)
299,CDW Corp.,CDW,0.062922,   118.51,0.00,(0.00%)
300,Quest Diagnostics Incorporated,DGX,0.061566,   126.86,1.75,(1.40%)
301,Vulcan Materials Company,VMC,0.061463,   125.00,0.05,(0.04%)
302,Pioneer Natural Resources Company,PXD,0.060183,   96.52,0.00,(0.00%)
303,Discover Financial Services,DFS,0.059164,   48.69,-0.30,(-0.61%)
304,Domino's Pizza Inc.,DPZ,0.058953,   390.54,0.32,(0.08%)
305,Delta Air Lines Inc.,DAL,0.058728,   27.16,0.11,(0.41%)
306,CarMax Inc.,KMX,0.058695,   95.02,0.00,(0.00%)
307,Hologic Inc.,HOLX,0.058253,   61.89,0.01,(0.02%)
308,AmerisourceBergen Corporation,ABC,0.057946,   104.45,0.00,(0.00%)
309,Cardinal Health Inc.,CAH,0.057535,   53.13,0.00,(0.00%)
310,Hartford Financial Services Group Inc.,HIG,0.057117,   41.95,0.00,(0.00%)
311,Occidental Petroleum Corporation,OXY,0.05689,   16.37,0.09,(0.55%)
312,Kansas City Southern,KSU,0.056652,   160.29,-0.01,(-0.01%)
313,CBRE Group Inc. Class A,CBRE,0.055872,   44.95,0.00,(0.00%)
314,Dover Corporation,DOV,0.055725,   103.58,0.00,(0.00%)
315,International Paper Company,IP,0.055063,   36.92,0.00,(0.00%)
316,Essex Property Trust Inc.,ESS,0.054939,   223.17,0.00,(0.00%)
317,Garmin Ltd.,GRMN,0.054732,   100.40,-0.02,(-0.02%)
318,Nasdaq Inc.,NDAQ,0.054692,   129.00,0.56,(0.44%)
319,Broadridge Financial Solutions Inc.,BR,0.054601,   129.10,0.00,(0.00%)
320,W.W. Grainger Inc.,GWW,0.054573,   330.27,0.00,(0.00%)
321,Zebra Technologies Corporation Class A,ZBRA,0.054231,   275.00,1.90,(0.70%)
322,Paycom Software Inc.,PAYC,0.053306,   296.00,0.93,(0.32%)
323,Healthpeak Properties Inc.,PEAK,0.05316,   27.11,0.00,(0.00%)
324,Cooper Companies Inc.,COO,0.053075,   291.37,0.00,(0.00%)
325,Tyler Technologies Inc.,TYL,0.052575,   358.49,2.69,(0.76%)
326,Evergy Inc.,EVRG,0.052568,   63.22,0.00,(0.00%)
327,Waters Corporation,WAT,0.052183,   226.89,0.00,(0.00%)
328,Martin Marietta Materials Inc.,MLM,0.052046,   223.55,0.00,(0.00%)
329,Masco Corporation,MAS,0.051958,   53.97,0.66,(1.24%)
330,International Flavors & Fragrances Inc.,IFF,0.051888,   130.99,0.00,(0.00%)
331,Hormel Foods Corporation,HRL,0.051674,   49.92,0.00,(0.00%)
332,FMC Corporation,FMC,0.051643,   106.47,0.00,(0.00%)
333,ViacomCBS Inc. Class B,VIAC,0.051358,   25.32,0.13,(0.52%)
334,Fifth Third Bancorp,FITB,0.051076,   18.76,0.00,(0.00%)
335,Jack Henry & Associates Inc.,JKHY,0.051069,   181.88,0.30,(0.17%)
336,M&T Bank Corporation,MTB,0.050775,   99.32,0.00,(0.00%)
337,Expeditors International of Washington Inc.,EXPD,0.050439,   79.63,0.00,(0.00%)
338,Xylem Inc.,XYL,0.050083,   74.25,0.00,(0.00%)
339,STERIS Plc,STE,0.05003,   159.96,0.00,(0.00%)
340,Boston Properties Inc.,BXP,0.049224,   93.07,0.00,(0.00%)
341,Tiffany & Co.,TIF,0.049039,   121.75,0.00,(0.00%)
342,Duke Realty Corporation,DRE,0.049029,   36.08,0.00,(0.00%)
343,Ventas Inc.,VTR,0.048764,   36.15,0.00,(0.00%)
344,Qorvo Inc.,QRVO,0.048679,   113.90,-0.08,(-0.07%)
345,Genuine Parts Company,GPC,0.048302,   87.86,0.00,(0.00%)
346,Western Digital Corporation,WDC,0.048064,   43.43,0.03,(0.06%)
347,Synchrony Financial,SYF,0.048002,   23.25,0.04,(0.17%)
348,Mid-America Apartment Communities Inc.,MAA,0.047613,   112.92,0.00,(0.00%)
349,Nucor Corporation,NUE,0.04737,   41.26,0.00,(0.00%)
350,Hess Corporation,HES,0.047223,   49.60,1.73,(3.61%)
351,Hewlett Packard Enterprise Co.,HPE,0.047197,   9.74,0.07,(0.72%)
352,IDEX Corporation,IEX,0.047141,   169.57,0.00,(0.00%)
